member_id,tier,segment,churn_probability,reason_1,reason_2,reason_3,recommended_action,annual_value_thb
M008592,Silver,Champions,0.82031745,visiting 60% less often than their own usual pattern (+22 points of risk),a member for 311 days (+11 points of risk),27 visits on record (+11 points of risk),"VIP perks, early access to new drinks, referral ask",5840.0199999999995
M017422,Silver,Champions,0.96889436,visits roughly every 3 days (+25 points of risk),28 days since last visit (+11 points of risk),visits down 88% in the last 30 days vs. the 30 before (+8 points of risk),"VIP perks, early access to new drinks, referral ask",5837.99
M011666,Silver,Hibernating,0.95415354,62 days since last visit (+26 points of risk),visits roughly every 3 days (+24 points of risk),a member for 138 days (+5 points of risk),Bounce-back free drink + one-question why-survey,5779.79
M012829,Bronze,Hibernating,0.99070495,55 days since last visit (+19 points of risk),typical gap between visits is now 2.3x longer than their own usual pattern (+12 points of risk),27 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,5776.87
M006308,Bronze,Hibernating,0.9971693,typical gap between visits is now 3.8x longer than their own usual pattern (+20 points of risk),46 days since last visit (+13 points of risk),29 visits on record (+9 points of risk),Bounce-back free drink + one-question why-survey,5770.6900000000005
M002636,Gold,Loyal,0.9261977,typical gap between visits is now 3.8x longer than their own usual pattern (+34 points of risk),18 visits on record (+17 points of risk),a member for 279 days (+9 points of risk),"Tier-up nudge, personalized bundle",5767.94
M018062,Silver,Hibernating,0.99653554,typical gap between visits is now 6.0x longer than their own usual pattern (+21 points of risk),60 days since last visit (+16 points of risk),visits roughly every 12 days (+8 points of risk),Bounce-back free drink + one-question why-survey,5732.51
M014477,Bronze,Hibernating,0.9717924,79 days since last visit (+28 points of risk),visiting 57% less often than their own usual pattern (+11 points of risk),31 visits on record (+10 points of risk),Bounce-back free drink + one-question why-survey,5731.28
M011331,Silver,Hibernating,0.9789007,57 days since last visit (+20 points of risk),27 visits on record (+11 points of risk),visiting 72% less often than their own usual pattern (+11 points of risk),Bounce-back free drink + one-question why-survey,5720.28
M009446,Bronze,Hibernating,0.99461174,67 days since last visit (+17 points of risk),visits roughly every 3 days (+13 points of risk),33 visits on record (+9 points of risk),Bounce-back free drink + one-question why-survey,5666.43
M005196,Bronze,Champions,0.9887561,typical gap between visits is now 4.5x longer than their own usual pattern (+28 points of risk),22 visits on record (+11 points of risk),visits roughly every 13 days (+9 points of risk),"VIP perks, early access to new drinks, referral ask",5666.11
M019742,Bronze,Hibernating,0.9612921,80 days since last visit (+29 points of risk),visits roughly every 3 days (+24 points of risk),a member for 168 days (+7 points of risk),Bounce-back free drink + one-question why-survey,5640.9400000000005
M012350,Bronze,Hibernating,0.94718385,23 visits on record (+13 points of risk),visits roughly every 10 days (+12 points of risk),a member for 310 days (+9 points of risk),Bounce-back free drink + one-question why-survey,5635.83
M016618,Bronze,Champions,0.91726947,visiting 93% less often than their own usual pattern (+20 points of risk),22 visits on record (+13 points of risk),a member for 199 days (+9 points of risk),"VIP perks, early access to new drinks, referral ask",5626.4800000000005
M015394,Gold,Hibernating,0.9227328,41 days since last visit (+22 points of risk),visits roughly every 9 days (+18 points of risk),14 visits on record (+10 points of risk),Bounce-back free drink + one-question why-survey,5624.21
M003207,Silver,Champions,0.9498952,typical gap between visits is now 6.1x longer than their own usual pattern (+39 points of risk),28 visits on record (+13 points of risk),a member for 416 days (+9 points of risk),"VIP perks, early access to new drinks, referral ask",5604.28
M008812,Silver,Champions,0.94260854,visits roughly every 3 days (+22 points of risk),23 visits on record (+13 points of risk),visits down 67% in the last 30 days vs. the 30 before (+9 points of risk),"VIP perks, early access to new drinks, referral ask",5594.44
M008602,Gold,Hibernating,0.9655546,41 days since last visit (+16 points of risk),visits roughly every 11 days (+13 points of risk),17 visits on record (+13 points of risk),Bounce-back free drink + one-question why-survey,5526.81
M010922,Bronze,Hibernating,0.99660957,typical gap between visits is now 3.7x longer than their own usual pattern (+15 points of risk),55 days since last visit (+14 points of risk),25 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,5506.01
M012973,Bronze,Hibernating,0.9317286,79 days since last visit (+29 points of risk),visiting 52% less often than their own usual pattern (+13 points of risk),29 visits on record (+9 points of risk),Bounce-back free drink + one-question why-survey,5500.45
M006755,Bronze,Loyal,0.82583046,visiting 81% less often than their own usual pattern (+19 points of risk),19 visits on record (+15 points of risk),visits roughly every 10 days (+9 points of risk),"Tier-up nudge, personalized bundle",5485.46
M008722,Silver,Hibernating,0.9974896,typical gap between visits is now 5.6x longer than their own usual pattern (+17 points of risk),46 days since last visit (+13 points of risk),25 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,5481.89
M008893,Bronze,Champions,0.9137341,typical gap between visits is now 2.0x longer than their own usual pattern (+17 points of risk),25 visits on record (+14 points of risk),a member for 193 days (+9 points of risk),"VIP perks, early access to new drinks, referral ask",5452.07
M001866,Silver,Hibernating,0.98351014,58 days since last visit (+19 points of risk),20 visits on record (+12 points of risk),visits roughly every 9 days (+9 points of risk),Bounce-back free drink + one-question why-survey,5437.17
M013584,Silver,Champions,0.9691349,typical gap between visits is now 6.0x longer than their own usual pattern (+34 points of risk),23 visits on record (+12 points of risk),a member for 325 days (+9 points of risk),"VIP perks, early access to new drinks, referral ask",5418.12
M003278,Bronze,Hibernating,0.9897424,88 days since last visit (+17 points of risk),visits roughly every 3 days (+13 points of risk),30 visits on record (+9 points of risk),Bounce-back free drink + one-question why-survey,5364.26
M016429,Bronze,Champions,0.97119236,typical gap between visits is now 3.6x longer than their own usual pattern (+22 points of risk),visits roughly every 12 days (+13 points of risk),31 visits on record (+10 points of risk),"VIP perks, early access to new drinks, referral ask",5358.68
M010274,Silver,Hibernating,0.98501414,72 days since last visit (+21 points of risk),24 visits on record (+11 points of risk),visiting 59% less often than their own usual pattern (+9 points of risk),Bounce-back free drink + one-question why-survey,5354.79
M005874,Gold,Loyal,0.90798146,visits roughly every 12 days (+15 points of risk),16 visits on record (+15 points of risk),visiting 76% less often than their own usual pattern (+13 points of risk),"Tier-up nudge, personalized bundle",5322.14
M013514,Silver,Loyal,0.93415654,21 visits on record (+14 points of risk),visits roughly every 9 days (+12 points of risk),36 days since last visit (+11 points of risk),"Tier-up nudge, personalized bundle",5309.1
M001040,Bronze,Hibernating,0.9848823,62 days since last visit (+19 points of risk),28 visits on record (+11 points of risk),visiting 79% less often than their own usual pattern (+9 points of risk),Bounce-back free drink + one-question why-survey,5279.03
M009412,Silver,Loyal,0.87230253,typical gap between visits is now 2.1x longer than their own usual pattern (+14 points of risk),23 visits on record (+14 points of risk),visits roughly every 10 days (+11 points of risk),"Tier-up nudge, personalized bundle",5277.79
M003696,Silver,Hibernating,0.97169185,46 days since last visit (+18 points of risk),23 visits on record (+13 points of risk),visiting 67% less often than their own usual pattern (+10 points of risk),Bounce-back free drink + one-question why-survey,5274.95
M013922,Bronze,Hibernating,0.9532356,83 days since last visit (+25 points of risk),visiting 84% less often than their own usual pattern (+12 points of risk),31 visits on record (+8 points of risk),Bounce-back free drink + one-question why-survey,5274.14
M015191,Bronze,Hibernating,0.9676961,82 days since last visit (+16 points of risk),21 visits on record (+12 points of risk),visits roughly every 10 days (+11 points of risk),Bounce-back free drink + one-question why-survey,5269.26
M013008,Silver,Hibernating,0.9836183,52 days since last visit (+16 points of risk),22 visits on record (+12 points of risk),visits roughly every 10 days (+11 points of risk),Bounce-back free drink + one-question why-survey,5256.03
M002622,Silver,Hibernating,0.9692441,55 days since last visit (+19 points of risk),visits roughly every 10 days (+14 points of risk),19 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,5254.76
M000836,Bronze,Loyal,0.95300347,25 visits on record (+13 points of risk),36 days since last visit (+13 points of risk),visiting 99% less often than their own usual pattern (+7 points of risk),"Tier-up nudge, personalized bundle",5205.43
M010517,Gold,Loyal,0.9158138,visits roughly every 13 days (+19 points of risk),18 visits on record (+12 points of risk),32 days since last visit (+10 points of risk),"Tier-up nudge, personalized bundle",5151.14
M011745,Bronze,Hibernating,0.98590356,56 days since last visit (+15 points of risk),24 visits on record (+11 points of risk),visiting 96% less often than their own usual pattern (+9 points of risk),Bounce-back free drink + one-question why-survey,5149.89
M016254,Bronze,Hibernating,0.97842216,69 days since last visit (+25 points of risk),25 visits on record (+13 points of risk),typical gap between visits is now 2.2x longer than their own usual pattern (+10 points of risk),Bounce-back free drink + one-question why-survey,5146.78
M015264,Bronze,Hibernating,0.9856947,75 days since last visit (+22 points of risk),visits roughly every 3 days (+13 points of risk),31 visits on record (+9 points of risk),Bounce-back free drink + one-question why-survey,5133.66
M010443,Silver,Hibernating,0.9660877,42 days since last visit (+15 points of risk),17 visits on record (+13 points of risk),typical gap between visits is now 2.0x longer than their own usual pattern (+8 points of risk),Bounce-back free drink + one-question why-survey,5118.31
M010600,Silver,Hibernating,0.9655177,71 days since last visit (+25 points of risk),visiting 59% less often than their own usual pattern (+11 points of risk),a member for 279 days (+8 points of risk),Bounce-back free drink + one-question why-survey,5101.97
M007562,Bronze,Champions,0.9877087,typical gap between visits is now 4.2x longer than their own usual pattern (+28 points of risk),25 visits on record (+13 points of risk),a member for 374 days (+8 points of risk),"VIP perks, early access to new drinks, referral ask",5101.86
M004754,Silver,Hibernating,0.9768132,76 days since last visit (+20 points of risk),17 visits on record (+11 points of risk),visits roughly every 14 days (+10 points of risk),Bounce-back free drink + one-question why-survey,5091.27
M008268,Bronze,Hibernating,0.99524313,56 days since last visit (+14 points of risk),typical gap between visits is now 3.3x longer than their own usual pattern (+13 points of risk),23 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,5061.42
M012615,Bronze,Hibernating,0.9826271,54 days since last visit (+17 points of risk),20 visits on record (+12 points of risk),visits roughly every 9 days (+9 points of risk),Bounce-back free drink + one-question why-survey,5053.0
M013502,Bronze,Loyal,0.9268485,22 visits on record (+14 points of risk),visiting 70% less often than their own usual pattern (+12 points of risk),visits down 60% in the last 30 days vs. the 30 before (+8 points of risk),"Tier-up nudge, personalized bundle",5021.7699999999995
M009213,Silver,Hibernating,0.9697889,42 days since last visit (+15 points of risk),23 visits on record (+15 points of risk),visits roughly every 13 days (+13 points of risk),Bounce-back free drink + one-question why-survey,5014.32
M002515,Bronze,Hibernating,0.9733175,81 days since last visit (+20 points of risk),26 visits on record (+11 points of risk),visiting 80% less often than their own usual pattern (+10 points of risk),Bounce-back free drink + one-question why-survey,4995.38
M003791,Silver,Hibernating,0.9449919,71 days since last visit (+25 points of risk),26 visits on record (+12 points of risk),visiting 71% less often than their own usual pattern (+11 points of risk),Bounce-back free drink + one-question why-survey,4993.65
M014156,Bronze,Hibernating,0.9968881,typical gap between visits is now 3.8x longer than their own usual pattern (+20 points of risk),55 days since last visit (+15 points of risk),30 visits on record (+9 points of risk),Bounce-back free drink + one-question why-survey,4986.34
M014612,Bronze,Hibernating,0.9805956,80 days since last visit (+20 points of risk),21 visits on record (+11 points of risk),visiting 81% less often than their own usual pattern (+8 points of risk),Bounce-back free drink + one-question why-survey,4985.46
M004354,Silver,Hibernating,0.9965203,typical gap between visits is now 3.9x longer than their own usual pattern (+18 points of risk),25 visits on record (+11 points of risk),43 days since last visit (+10 points of risk),Bounce-back free drink + one-question why-survey,4975.59
M015120,Silver,Loyal,0.94968057,37 days since last visit (+14 points of risk),24 visits on record (+14 points of risk),typical gap between visits is now 2.1x longer than their own usual pattern (+9 points of risk),"Tier-up nudge, personalized bundle",4970.13
M005660,Silver,Hibernating,0.96389884,79 days since last visit (+20 points of risk),visits roughly every 11 days (+14 points of risk),15 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,4970.06
M018345,Gold,Hibernating,0.9683364,49 days since last visit (+18 points of risk),visits roughly every 13 days (+15 points of risk),22 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,4957.72
M018908,Silver,Hibernating,0.9564013,75 days since last visit (+19 points of risk),22 visits on record (+13 points of risk),visits roughly every 12 days (+11 points of risk),Bounce-back free drink + one-question why-survey,4942.99
M009293,Bronze,Hibernating,0.9609714,65 days since last visit (+25 points of risk),24 visits on record (+11 points of risk),a member for 244 days (+7 points of risk),Bounce-back free drink + one-question why-survey,4940.28
M008801,Silver,Champions,0.89491314,typical gap between visits is now 2.2x longer than their own usual pattern (+16 points of risk),27 visits on record (+14 points of risk),visits roughly every 9 days (+11 points of risk),"VIP perks, early access to new drinks, referral ask",4910.19
M013215,Gold,Loyal,0.96745723,visits roughly every 3 days (+22 points of risk),37 days since last visit (+13 points of risk),27 visits on record (+13 points of risk),"Tier-up nudge, personalized bundle",4910.13
M004724,Bronze,Hibernating,0.97878164,76 days since last visit (+23 points of risk),21 visits on record (+12 points of risk),visiting 69% less often than their own usual pattern (+9 points of risk),Bounce-back free drink + one-question why-survey,4897.75
M009282,Silver,Loyal,0.9469059,38 days since last visit (+15 points of risk),20 visits on record (+14 points of risk),a member for 198 days (+8 points of risk),"Tier-up nudge, personalized bundle",4887.36
M008116,Bronze,Hibernating,0.9857125,77 days since last visit (+17 points of risk),23 visits on record (+11 points of risk),visits roughly every 12 days (+10 points of risk),Bounce-back free drink + one-question why-survey,4877.64
M017139,Silver,Loyal,0.8605798,25 visits on record (+15 points of risk),37 days since last visit (+14 points of risk),a member for 188 days (+8 points of risk),"Tier-up nudge, personalized bundle",4873.7300000000005
M013509,Gold,Hibernating,0.95256764,visits roughly every 11 days (+16 points of risk),41 days since last visit (+13 points of risk),13 visits on record (+12 points of risk),Bounce-back free drink + one-question why-survey,4869.6
M014925,Bronze,Hibernating,0.99697757,typical gap between visits is now 10.5x longer than their own usual pattern (+20 points of risk),45 days since last visit (+14 points of risk),32 visits on record (+10 points of risk),Bounce-back free drink + one-question why-survey,4868.4
M011861,Silver,Hibernating,0.9663957,visits roughly every 13 days (+14 points of risk),40 days since last visit (+12 points of risk),20 visits on record (+12 points of risk),Bounce-back free drink + one-question why-survey,4863.82
M017587,Bronze,Loyal,0.899724,visiting 68% less often than their own usual pattern (+17 points of risk),19 visits on record (+13 points of risk),visits roughly every 12 days (+12 points of risk),"Tier-up nudge, personalized bundle",4853.2
M015564,Bronze,Hibernating,0.94620395,27 visits on record (+13 points of risk),visits roughly every 10 days (+12 points of risk),visiting 72% less often than their own usual pattern (+10 points of risk),Bounce-back free drink + one-question why-survey,4816.31
M015214,Silver,Champions,0.98926336,typical gap between visits is now 6.5x longer than their own usual pattern (+26 points of risk),36 days since last visit (+11 points of risk),35 visits on record (+10 points of risk),"VIP perks, early access to new drinks, referral ask",4811.14
M009086,Silver,Hibernating,0.9323962,44 days since last visit (+17 points of risk),23 visits on record (+16 points of risk),typical gap between visits is now 2.0x longer than their own usual pattern (+13 points of risk),Bounce-back free drink + one-question why-survey,4804.86
M011019,Bronze,Hibernating,0.9178371,42 days since last visit (+17 points of risk),26 visits on record (+16 points of risk),visiting 73% less often than their own usual pattern (+10 points of risk),Bounce-back free drink + one-question why-survey,4803.39
M019119,Bronze,Hibernating,0.94385356,81 days since last visit (+23 points of risk),24 visits on record (+13 points of risk),visiting 43% less often than their own usual pattern (+9 points of risk),Bounce-back free drink + one-question why-survey,4794.33
M007700,Bronze,Loyal,0.9173002,22 visits on record (+14 points of risk),visiting 90% less often than their own usual pattern (+14 points of risk),a member for 223 days (+7 points of risk),"Tier-up nudge, personalized bundle",4789.79
